Client,Library,Old Version,New Version,Error Type,MaRCo evaluation
macrobase,org.apache.spark:spark-core_2.11,2.2.1,2.4.4,Error Only,statically_incompatible
DotCi,org.mongodb:mongo-java-driver,2.11.0,3.12.0,Fail + Error,statically_incompatible
DotCi,com.sonyericsson.hudson.plugins.rebuild:rebuild,1.25,1.31,Error Only,no_jar
TLS-Attacker,org.apache.logging.log4j:log4j-core,2.9.0,2.13.0,Fail + Error,statically_incompatible
dataverse,javax:javaee-api,7.0,8.0.1,Error Only,statically_incompatible
dataverse,org.junit.jupiter:junit-jupiter-api,5.3.1,5.6.0-M1,Error Only,statically_incompatible
citrus,org.springframework:spring-tx,3.2.4.RELEASE,5.2.2.RELEASE,Fail Only,statically_incompatible
citrus,org.springframework:spring-webmvc,3.2.4.RELEASE,5.2.2.RELEASE,Error Only,statically_incompatible
citrus,org.springframework:spring-web,3.2.4.RELEASE,5.2.2.RELEASE,Error Only,statically_incompatible
citrus,org.springframework:spring-test,3.2.4.RELEASE,5.2.2.RELEASE,Error Only,statically_incompatible
citrus,org.springframework:spring-aop,3.2.4.RELEASE,5.2.2.RELEASE,Fail Only,statically_incompatible
citrus,org.springframework:spring-beans,3.2.4.RELEASE,5.2.2.RELEASE,Error Only,statically_incompatible
citrus,org.springframework:spring-context,3.2.4.RELEASE,5.2.2.RELEASE,Error Only,statically_incompatible
citrus,org.springframework:spring-core,3.2.4.RELEASE,5.2.2.RELEASE,Fail + Error,statically_incompatible
citrus,com.alibaba.citrus:citrus-webx-all,3.1.5,3.2.4,Fail Only,statically_incompatible
citrus,org.slf4j:slf4j-api,1.7.5,2.0.0-alpha1,Fail + Error,statically_incompatible
citrus,ch.qos.logback:logback-classic,1.0.13,1.3.0-alpha5,Fail + Error,statically_incompatible
citrus,org.slf4j:slf4j-log4j12,1.7.5,2.0.0-alpha1,Fail + Error,statically_incompatible
citrus,org.httpunit:httpunit,1.7.2,1.7.3,Fail + Error,no_github_link
citrus,org.hamcrest:hamcrest-library,1.1,2.2,Error Only,statically_incompatible
citrus,org.apache.tomcat:jasper,6.0.37,6.0.53,Fail Only,statically_incompatible
citrus,org.freemarker:freemarker,2.3.20,2.3.29,Fail Only,statically_incompatible
citrus,commons-fileupload:commons-fileupload,1.3,1.4,Fail Only,statically_incompatible
citrus,xerces:xercesImpl,2.11.0,2.12.0,Fail Only,statically_incompatible
citrus,cglib:cglib-nodep,2.2.2,3.3.0,Error Only,statically_incompatible
elide,org.hibernate:hibernate-entitymanager,5.4.2.Final,6.0.0.Alpha4,Fail + Error,no_maven
elide,com.h2database:h2,1.4.199,1.4.200,Error Only,statically_incompatible
AthenaX,com.google.guava:guava,20,28.2-jre,Error Only,no_jar
AthenaX,org.apache.flink:flink-core,1.5.0,1.9.1,Fail + Error,statically_incompatible
AthenaX,org.apache.hadoop:hadoop-client,2.7.4,3.2.1,Error Only,no_github_link
AthenaX,org.scala-lang:scala-library,2.11.11,2.13.1,Error Only,statically_incompatible
swift,io.takari.maven.plugins:takari-plugin-testing,2.2.0,2.9.2,Fail Only,statically_incompatible
YCSB,org.apache.tomcat.embed:tomcat-embed-jasper,8.0.28,9.0.30,Error Only,statically_incompatible
YCSB,org.apache.tomcat.embed:tomcat-embed-websocket,8.0.28,9.0.30,Error Only,statically_incompatible
YCSB,org.apache.accumulo:accumulo-minicluster,1.6.6,2.0.0,Error Only,statically_incompatible
YCSB,org.apache.accumulo:accumulo-core,1.6.6,2.0.0,Error Only,statically_incompatible
YCSB,org.apache.hbase:hbase-client,1.0.2,2.2.2,Error Only,statically_incompatible
YCSB,org.apache.zookeeper:zookeeper,3.4.5,3.5.6,Error Only,statically_incompatible
YCSB,org.apache.hadoop:hadoop-common,2.2.0,3.2.1,Error Only,statically_incompatible
YCSB,com.orientechnologies:orientdb-client,2.2.37,3.1.0-M3,Fail + Error,statically_incompatible
YCSB,org.glassfish.jersey.core:jersey-server,2.6,2.29.1,Fail Only,statically_incompatible
chaos-monkey-spring-boot,org.springframework:spring-aspects,5.1.8.RELEASE,5.2.2.RELEASE,Error Only,no_maven
rest-assured,org.springframework:spring-webmvc,4.3.23.RELEASE,5.2.2.RELEASE,Fail + Error,statically_incompatible
rest-assured,org.springframework:spring-test,4.3.23.RELEASE,5.2.2.RELEASE,Fail + Error,statically_incompatible
rest-assured,org.springframework:spring-webflux,5.1.0.RELEASE,5.2.2.RELEASE,Fail + Error,statically_incompatible
rest-assured,org.codehaus.groovy:groovy-xml,2.5.6,3.0.0-rc-2,Error Only,statically_incompatible
rest-assured,org.codehaus.groovy:groovy,2.5.6,3.0.0-rc-2,Fail Only,statically_incompatible
s3proxy,org.apache.jclouds:jclouds-allblobstore,2.1.2,2.2.0,Fail Only,no_github_link
s3proxy,org.apache.jclouds.api:filesystem,2.1.2,2.2.0,Fail Only,no_github_link
s3proxy,org.testng:testng,6.8.21,7.1.0,Fail Only,statically_incompatible
Jest,org.elasticsearch.plugin:reindex-client,6.3.1,7.5.1,Error Only,statically_incompatible
Jest,org.elasticsearch.plugin:transport-netty4-client,6.3.1,7.5.1,Error Only,statically_incompatible
Jest,org.elasticsearch.plugin:percolator-client,6.3.1,7.5.1,Error Only,statically_incompatible
Jest,org.codelibs.elasticsearch.module:lang-painless,6.3.1,7.5.1,Error Only,statically_incompatible
Jest,org.elasticsearch.plugin:lang-mustache-client,6.3.1,7.5.1,Error Only,statically_incompatible
Jest,org.apache.lucene:lucene-codecs,7.3.1,8.3.1,Error Only,statically_incompatible
Jest,org.apache.lucene:lucene-test-framework,7.3.1,8.3.1,Error Only,statically_incompatible
Jest,com.google.guava:guava,21.0,28.1-jre,Error Only,statically_incompatible
Jest,com.google.code.gson:gson,2.8.0,2.8.6,Fail + Error,no_github_link
QRGen,com.google.zxing:core,3.3.0,3.4.0,Error Only,no_github_link
apollo,com.ctrip.framework.apollo:apollo-client,1.4.0,1.5.1,Error Only,statically_incompatible
apollo,com.google.guava:guava,19.0,28.1-jre,Error Only,statically_incompatible
apollo,com.h2database:h2,1.4.191,1.4.200,Error Only,statically_incompatible
apollo,com.squareup.okhttp3:mockwebserver,3.11.0,4.2.2,Error Only,statically_incompatible
apollo,com.squareup.okhttp3:okhttp,3.11.0,4.2.2,Error Only,statically_incompatible
xstream,org.codehaus.woodstox:wstx-asl,3.2.7,4.0.6,Fail Only,no_jar
xstream,joda-time:joda-time,1.6,2.10.5,Fail Only,statically_incompatible
xstream,org.codehaus.jettison:jettison,1.2,1.4.0,Fail Only,statically_incompatible
mockserver,com.fasterxml.jackson.core:jackson-core,2.9.9,2.10.1,Fail Only,statically_incompatible
mockserver,io.netty:netty-buffer,4.1.35.Final,5.0.0.Alpha2,Fail + Error,statically_incompatible
mockserver,io.netty:netty-codec,4.1.35.Final,5.0.0.Alpha2,Fail + Error,statically_incompatible
TwelveMonkeys,org.apache.xmlgraphics:batik-transcoder,1.9,1.12,Error Only,statically_incompatible
TwelveMonkeys,org.apache.xmlgraphics:batik-svggen,1.9,1.12,Error Only,no_github_link
TwelveMonkeys,org.apache.xmlgraphics:batik-extension,1.9,1.12,Error Only,no_github_link
isis,org.junit.jupiter:junit-jupiter-api,5.4.1,5.6.0-M1,Error Only,statically_incompatible
isis,com.fasterxml.jackson.core:jackson-databind,2.9.8,2.10.2,Error Only,statically_incompatible
isis,org.reflections:reflections,0.9.10,0.9.11,Error Only,statically_incompatible
immutables,org.elasticsearch.plugin:transport-netty4-client,7.1.0,7.5.1,Error Only,statically_incompatible
immutables,org.elasticsearch:elasticsearch,7.1.0,7.5.1,Error Only,statically_incompatible
immutables,org.codelibs.elasticsearch.module:lang-painless,7.1.0,7.5.1,Error Only,statically_incompatible
immutables,org.immutables:value-processor,2.8.0,2.8.3,Fail Only,statically_incompatible
immutables,org.immutables:criteria-common,2.8.0,2.8.3,Error Only,statically_incompatible
immutables,org.glassfish.jersey.core:jersey-client,2.11,2.29.1,Fail Only,statically_incompatible
immutables,org.hamcrest:hamcrest-library,1.3,2.2,Error Only,statically_incompatible
immutables,org.junit.jupiter:junit-jupiter-api,5.5.2,5.6.0-M1,Error Only,statically_incompatible
immutables,org.apache.logging.log4j:log4j-core,2.11.2,2.13.0,Error Only,statically_incompatible
jsprit,commons-configuration:commons-configuration,1.9,1.1,Error Only,statically_incompatible
wasabi,org.apache.httpcomponents:httpclient,4.5.1,4.5.10,Fail Only,no_github_link
wasabi,com.datastax.cassandra:cassandra-driver-core,3.0.3,4.0.0,Error Only,no_jar
wasabi,com.datastax.cassandra:cassandra-driver-mapping,3.0.3,3.8.0,Error Only,statically_incompatible
wasabi,com.fasterxml.jackson.core:jackson-databind,2.7.2,2.10.1,Error Only,statically_incompatible
exhibitor,org.apache.curator:curator-test,2.7.1,4.2.0,Fail Only,statically_incompatible
distributed-redis-tool,org.springframework:spring-beans,4.2.1.RELEASE,5.2.2.RELEASE,Error Only,statically_incompatible
distributed-redis-tool,org.springframework:spring-core,4.2.1.RELEASE,5.2.2.RELEASE,Error Only,statically_incompatible
