ga,version,repository,tag_name,tag_commit,err
com.google.protobuf:protobuf-java,3.25.2,protocolbuffers/protobuf,v3.25.2,a9b006bddd52e289029f16aa77b77e8e0033d9ee,
com.google.protobuf:protobuf-java,3.25.3,protocolbuffers/protobuf,v3.25.3,4a2aef570deb2bfb8927426558701e8bfc26f2a4,
com.google.protobuf:protobuf-java,4.26.0,protocolbuffers/protobuf,,,NO_TAG
com.google.protobuf:protobuf-java,4.26.1,protocolbuffers/protobuf,,,NO_TAG
com.googlecode.libphonenumber:libphonenumber,8.13.17,google/libphonenumber,v8.13.17,a4a46ef2eae8d7e9abf3eddee949ffca49548678,
com.googlecode.libphonenumber:libphonenumber,8.13.18,google/libphonenumber,v8.13.18,54af863d780dcfccbe25d6f35fef0cd5c2c7dde4,
com.googlecode.libphonenumber:libphonenumber,8.13.19,google/libphonenumber,v8.13.19,9e08719a258709fe3f0682fb786a8f06cee2d3b6,
com.googlecode.libphonenumber:libphonenumber,8.13.20,google/libphonenumber,v8.13.20,6d7589a49a91bfc15bfb757a516ded67ade2c1ed,
com.googlecode.libphonenumber:libphonenumber,8.13.21,google/libphonenumber,v8.13.21,f6bf98034432c36dee603eee2d820a03c67c7d1e,
com.googlecode.libphonenumber:libphonenumber,8.13.22,google/libphonenumber,v8.13.22,4189ef0fd972c8b54b8f9d25bf0d600ad9d80a9e,
com.googlecode.libphonenumber:libphonenumber,8.13.23,google/libphonenumber,v8.13.23,052011a699cb9492bfc03f4f52620f4ea1b17acf,
com.googlecode.libphonenumber:libphonenumber,8.13.24,google/libphonenumber,v8.13.24,03dab581633c72226fc463c47d94688be2495b08,
com.googlecode.libphonenumber:libphonenumber,8.13.25,google/libphonenumber,v8.13.25,de1e702ba39f9e5a21e44c5c30b895dfab4d5eb6,
com.googlecode.libphonenumber:libphonenumber,8.13.26,google/libphonenumber,v8.13.26,aa710ed413cf91976fb135687f1a78c0fa1cdaa2,
com.googlecode.libphonenumber:libphonenumber,8.13.27,google/libphonenumber,v8.13.27,7b3c8c91645ef44cf6fc938b9c6328561a137771,
com.googlecode.libphonenumber:libphonenumber,8.13.28,google/libphonenumber,v8.13.28,3c01f15caa5c83357482390467e15117b9da1c4b,
com.googlecode.libphonenumber:libphonenumber,8.13.34,google/libphonenumber,v8.13.34,2c5a813eb35e82b03a51556cedb64703f1b37f72,
com.googlecode.libphonenumber:libphonenumber,8.13.35,google/libphonenumber,v8.13.35,127062fe7366823a89e11a1d9a421e99cf3a33b2,
com.googlecode.libphonenumber:libphonenumber,8.13.36,google/libphonenumber,v8.13.36,1035cc6c80dee449be42b285191329533f9e4dc9,
com.graphql-java:graphql-java-extended-scalars,20.2,graphql-java/graphql-java-extended-scalars,20.2,3e920626ba1178e15ad7031758b91830e01c0e6b,
com.graphql-java:graphql-java-extended-scalars,21.0,graphql-java/graphql-java-extended-scalars,v21.0,c03df43a0f3e2efa6c2012914c41eb4b56f43b2c,
com.h2database:h2,2.2.222,,,,NO_GITHUB
com.h2database:h2,2.2.224,,,,NO_GITHUB
com.ibm.db2:jcc,11.5.8.0,,,,NO_GITHUB
com.ibm.db2:jcc,11.5.9.0,,,,NO_GITHUB
com.jayway.jsonpath:json-path,2.8.0,json-path/JsonPath,json-path-2.8.0,8a0d2fd594b4a1baab71132cf5ef74889b9976e5,
com.jayway.jsonpath:json-path,2.9.0,json-path/JsonPath,json-path-2.9.0,af7e516c69df680a6584fca7180ef082eb67c96c,
com.jcabi:jcabi-xml,0.27.2,jcabi/jcabi-xml,0.27.2,efa87fa3309997b866acfb280f2eb51e4a207e5f,
