ga,version,groundtruth_repo,groundtruth_tag,repo,tag,commit,exact_match,has_tests,err
org.simplify4u.plugins:pgpverify-maven-plugin,1.12.0,s4u/pgpverify-maven-plugin,v1.12.0,s4u/pgpverify-maven-plugin,v1.12.0,29fc5a5d0a3d38958fd3f236a8ce3f84db87a9b9,True,True,
org.simplify4u.plugins:pgpverify-maven-plugin,1.17.0,s4u/pgpverify-maven-plugin,v1.17.0,s4u/pgpverify-maven-plugin,v1.17.0,85cf826335a9b3fae70f9423c3e3be5318c92fd4,True,True,
org.simplify4u.plugins:sign-maven-plugin,0.2.0,s4u/${artifactId},v0.2.0,s4u/sign-maven-plugin,v0.2.0,a33e697a83aac3707e7310a7d04093b87b063995,True,True,
org.simplify4u.plugins:sign-maven-plugin,1.0.0,s4u/${artifactId},v1.0.0,s4u/sign-maven-plugin,v1.0.0,123f8aaf6d6342ff7d5657f19ea7a3ae843ae757,True,True,
org.simplify4u.plugins:sign-maven-plugin,0.2.1,s4u/${artifactId},v0.2.1,s4u/sign-maven-plugin,v0.2.1,5b2add9126e3efc1460f884ac2aa88a8e44af4a6,True,True,
org.simplify4u.plugins:sign-maven-plugin,0.1.0,s4u/${artifactId},v0.1.0,s4u/sign-maven-plugin,v0.1.0,fd190e041166b76adcf0fc62dafb19f20494f35e,True,True,
org.simplify4u.plugins:sign-maven-plugin,1.0.1,s4u/${artifactId},v1.0.1,s4u/sign-maven-plugin,v1.0.1,6e7614da8e774a21d4d6b5f0d1700f420cd9b3f2,True,True,
org.simplify4u.plugins:sign-maven-plugin,0.3.0,s4u/${artifactId},v0.3.0,s4u/sign-maven-plugin,v0.3.0,d669565da1c98b69ec48aa847a52cf9c0c05ffa8,True,True,
org.simplify4u.plugins:sign-maven-plugin,0.3.1,s4u/${artifactId},v0.3.1,s4u/sign-maven-plugin,v0.3.1,f9050683f53a502d85184528ac9edbf1300e38e2,True,True,
org.simplify4u:pgp-keys-map,2023.06.24,s4u/${artifactId},v2023.06.24,s4u/pgp-keys-map,v2023.06.24,f2075105c7f35987eb5495067a01e34ce2338b2a,True,False,
org.simplify4u:pgp-keys-map,2021.07.12,s4u/${artifactId},v2021.07.12,s4u/pgp-keys-map,v2021.07.12,87419c82374f085f37ef44bd4b23bd9da790f3f6,True,False,
org.simplify4u:pgp-keys-map,2022.11.15,s4u/${artifactId},v2022.11.15,s4u/pgp-keys-map,v2022.11.15,05f3f16f514175d529dec7c0ae90e2b128ef3fb1,True,False,
org.simplify4u:pgp-keys-map,2022.07.02,s4u/${artifactId},v2022.07.02,s4u/pgp-keys-map,v2022.07.02,3b065a830112c8bfbe6481258a336552fa5edffd,True,False,
org.simplify4u:pgp-keys-map,2021.03.02,s4u/${artifactId},v2021.03.02,s4u/pgp-keys-map,v2021.03.02,ce70f759474a6d082f55ca6a74f8eae7a5fc59b5,True,False,
org.simplify4u:pgp-keys-map,2022.09.15,s4u/${artifactId},v2022.09.15,s4u/pgp-keys-map,v2022.09.15,408682dc4acedfcee8ac15a0cd14ec758059b7e4,True,False,
org.simplify4u:pgp-keys-map,2023.01.09,s4u/${artifactId},v2023.01.09,s4u/pgp-keys-map,v2023.01.09,7384cf6858d2b6bbba0c802afa8d57113212107b,True,False,
org.simplify4u:pgp-keys-map,2022.05.12,s4u/${artifactId},v2022.05.12,s4u/pgp-keys-map,v2022.05.12,59419df47375d8739a4bc5bf4780b701d1570cc3,True,False,
org.simplify4u:pgp-keys-map,2021.07.02,s4u/${artifactId},v2021.07.02,s4u/pgp-keys-map,v2021.07.02,00c2f48ad681bc360da557aeaf3ee3133d8a954d,True,False,
org.simplify4u:pgp-keys-map,2023.11.23,s4u/${artifactId},v2023.11.23,s4u/pgp-keys-map,v2023.11.23,20bd21402eca1e5566cacbb1103a097431b9b57e,True,False,
org.simplify4u:pgp-keys-map,2021.10.13,s4u/${artifactId},v2021.10.13,s4u/pgp-keys-map,v2021.10.13,ef34d6ce343a09c21efd23bc22eecfd539fa1ca6,True,False,
org.simplify4u:pgp-keys-map,2022.02.05,s4u/${artifactId},v2022.02.05,s4u/pgp-keys-map,v2022.02.05,01c0502d7acad3ed50e3514b210f24f0b4cbbc41,True,False,
