ga,version,groundtruth_repo,groundtruth_tag,repo,tag,commit,exact_match,has_tests,has_tests_jar,err,manual_eval
com.io7m.percentpass:com.io7m.percentpass,0.0.1,io7m/percentpass,5401701c9c03bbe4addd8fd86e4b6e5a80ab0767,io7m-com/percentpass,com.io7m.percentpass-0.0.1,bd8dfd2f99cd983c6bf16311f5acff59022d5ba1,True,True,False,,CAT1_FAIL
com.io7m.hibiscus:com.io7m.hibiscus,0.0.1,io7m/hibiscus,7fbd18a0fe6bde541d6b4afa7d6c58c12e005820,io7m-com/hibiscus,com.io7m.hibiscus-0.0.1,07858ff927e11119d64726ee85b89407bc3abed7,True,False,False,,CAT1_FAIL
com.io7m.jade:com.io7m.jade,1.0.2,io7m/jade,c40d8d982e7285559c84dbdc4abd2ed6ecf79b44,io7m-com/jade,com.io7m.jade-1.0.2,0e1552900b30a947cdb2cdf19ee3e62523514e90,True,True,False,,CAT1_FAIL
com.io7m.jade:com.io7m.jade,1.0.1,io7m/jade,f2b307b3ff1d6e10b2f73aef51cc7ba24e595d1f,io7m-com/jade,com.io7m.jade-1.0.1,a8f7fbc8559d3ec6a22d0688ef09179e02cfb186,True,True,False,,CAT1_FAIL
com.io7m.jcolorspace:com.io7m.jcolorspace,0.0.2,io7m/jcolorspace,baa85199f3f289f250dd9df0df15261900851474,io7m-com/jcolorspace,com.io7m.jcolorspace-0.0.2,89d0fd0405c6cfe41849759117126566b5533eb1,True,True,False,,CAT1_FAIL
com.io7m.jcolorspace:com.io7m.jcolorspace,0.0.1,io7m/jcolorspace,a155fe67acc41987bc62f9149ec15882c24c617c,io7m-com/jcolorspace,com.io7m.jcolorspace-0.0.1,83b84a0f15bd25e6e5eb1e15d08d1242557b00be,True,True,False,,CAT1_FAIL
com.io7m.jaffirm:com.io7m.jaffirm,3.0.4,io7m/jaffirm,9143b5613b5f8a2d3efea0e7a77a1c14e18204f7,io7m-com/jaffirm,com.io7m.jaffirm-3.0.4,10f2c674be7df5b6e195ceaf5550b6351317229e,True,True,False,,CAT1_FAIL
com.io7m.jsx:com.io7m.jsx,3.0.0,io7m/jsx,f38edeee7e440fdc47081cbb01fa422c61eb6f7f,io7m-com/jsx,com.io7m.jsx-3.0.0,fa269d3a690600eae6345bc62b8a3a2302219b81,True,True,False,,CAT1_FAIL
com.io7m.jnoisetype:com.io7m.jnoisetype,0.0.3,io7m/jnoisetype,ee5cfa9c3eb9955e10b1c886090279d595ddfdcf,io7m-com/jnoisetype,com.io7m.jnoisetype-0.0.3,88a39552975d202df74a60b5b64c4c02ec81b6b6,True,True,False,,CAT1_FAIL
com.io7m.jnoisetype:com.io7m.jnoisetype,0.0.4,io7m/jnoisetype,bf266fd726e63cc63ef10a1c845df9237ecfa5fc,io7m-com/jnoisetype,com.io7m.jnoisetype-0.0.4,51b5525b6e0dcf3d575b207a7d479a159ea3826c,True,True,False,,CAT1_FAIL
