project,dep,dep_range,project_depth,status,Incompatibility,No suitable version,"Error (no jar, call graph)"
com.siliconmtn|nga-oe-java|0.1.51,org.apache.logging.log4j|log4j-core|2.14.0,"[2.14.0,2.15.0]",1,success,,,
org.alliancegenome|agr_curation_api|v0.17.0-rc2,org.apache.logging.log4j|log4j-core|2.13.2,"[2.13.2,2.15.0]",1,success,,,
org.alliancegenome|agr_curation_api|v0.17.0-rc3,org.apache.logging.log4j|log4j-core|2.13.2,"[2.13.2,2.15.0]",1,success,,,
org.jboss.resteasy|resteasy-integration-tests-spring-inmodule|4.7.8.Final,org.apache.logging.log4j|log4j-core|2.13.3,"[2.13.3,2.15.0]",1,success,,,
org.jboss.resteasy|microprofile-tck-runner|4.7.8.Final,org.apache.logging.log4j|log4j-core|2.13.3,"[2.13.3,2.15.0]",1,success,,,
org.jboss.resteasy|resteasy-integration-tests|4.7.9.Final,org.apache.logging.log4j|log4j-core|2.13.3,"[2.13.3,2.15.0]",1,success,,,
org.jboss.resteasy|resteasy-integration-tests|4.7.8.Final,org.apache.logging.log4j|log4j-core|2.13.3,"[2.13.3,2.15.0]",1,success,,,
org.jboss.resteasy|resteasy-integration-tests-spring-deployment|4.7.8.Final,org.apache.logging.log4j|log4j-core|2.13.3,"[2.13.3,2.15.0]",1,success,,,
org.jboss.resteasy|resteasy-integration-tests-spring-web-deployment|4.7.8.Final,org.apache.logging.log4j|log4j-core|2.13.3,"[2.13.3,2.15.0]",1,success,,,
org.jboss.resteasy|resteasy-integration-tests-spring-unit|4.7.9.Final,org.apache.logging.log4j|log4j-core|2.13.3,"[2.13.3,2.15.0]",1,success,,,
org.lable.rfc3881.auditlogger.adapter|slf4j|2.4,org.apache.logging.log4j|log4j-core|2.13.3,"[2.13.3,2.15.0]",1,success,,,
top.lishuoboy|lishuoboy-dependency-all|1.0.3,org.apache.logging.log4j|log4j-core|2.13.3,"[2.13.3,2.15.0]",1,success,,,
org.jboss.resteasy|resteasy-unit-tests|4.7.8.Final,org.apache.logging.log4j|log4j-core|2.13.3,"[2.13.3,2.15.0]",1,success,,,
com.github.ocraft|ocraft-s2client-api|0.4.14,org.apache.logging.log4j|log4j-core|2.13.3,"[2.13.3,2.15.0]",1,success,,,
io.gamioo|gamioo-common|0.2.11,org.apache.logging.log4j|log4j-core|2.13.3,"[2.13.3,2.15.0]",1,success,,,
org.jboss.resteasy|arquillian-utils|4.7.9.Final,org.apache.logging.log4j|log4j-core|2.13.3,"[2.13.3,2.15.0]",1,success,,,
com.infospica|nextgen-java-sdk|1.0.1,org.apache.logging.log4j|log4j-core|2.6.1,"[2.6.1,2.12.2]",1,success,,,
org.jboss.resteasy|arquillian-utils|4.7.8.Final,org.apache.logging.log4j|log4j-core|2.13.3,"[2.13.3,2.15.0]",1,success,,,
com.nasuyun|integration-log4j|1.0.3,org.apache.logging.log4j|log4j-core|2.11.0,null,1,failed,Y,,
com.nasuyun|integration-log4j|1.0.2,org.apache.logging.log4j|log4j-core|2.11.0,null,1,failed,Y,,
com.robypomper.josp|jospCommons|2.2.3,org.apache.logging.log4j|log4j-core|2.13.1,"[2.13.1,2.15.0]",1,success,,,
org.jboss.resteasy|arquillian-utils|5.0.6.Final,org.apache.logging.log4j|log4j-core|2.13.3,"[2.13.3,2.15.0]",1,success,,,
com.github.skarpushin|swingpm|3.0.0,org.apache.logging.log4j|log4j-core|2.14.1,"[2.14.1,2.15.0]",1,success,,,
com.searchunify|su-sdk|1.0.1,org.apache.logging.log4j|log4j-core|2.14.1,"[2.14.1,2.15.0]",1,success,,,
cn.sliew|milky-test|1.0.9,org.apache.logging.log4j|log4j-core|2.14.1,"[2.14.1,2.15.0]",1,success,,,
