project,dep,dep_range,project_depth,status,Incompatibility,No suitable version,"Error (no jar, call graph)"
us.ihmc|scs2-session-test|0.6.0,us.ihmc|scs2-session|0.6.0,"[0.6.0,17-0.11.1]",4,success,,,
io.github.alexarchambault.bleep|bloop-backend_2.12|1.4.19,org.scala-sbt|librarymanagement-ivy_2.12|1.0.0,"[1.0.0,1.6.0]",4,success,,,
it.unibo.alchemist|alchemist-swingui|15.0.4,net.anwiba.commons.swing.icons|org.oxygen.oxygen-icons|4.13.0-1.1.158,"[4.13.0-1.1.158,4.13.0-1.2.50]",4,success,,,
org.wso2.carbon.apimgt|org.wso2.carbon.apimgt.keymgt|9.11.0,org.wso2.carbon.identity.framework|org.wso2.carbon.claim.mgt|5.18.187,"[5.18.187,5.18.253]",4,success,,,
org.wso2.carbon.identity.workflow.impl.bps|org.wso2.carbon.identity.workflow.impl|5.5.2,org.wso2.carbon.identity.framework|org.wso2.carbon.identity.workflow.mgt|5.20.210,"[5.20.210,5.20.295]",4,success,,,
us.ihmc|scs2-session-visualizer-jfx|17-0.12.1,us.ihmc|scs2-simulation|17-0.12.1,"[17-0.12.1,17-0.12.4]",4,success,,,
io.github.alexarchambault.bleep|bloop-shared_2.12|1.4.19,ch.epfl.scala|zinc_2.12|1.3.0-M4+47-d881fa2f,No suitable version,4,failed,,Y,
org.wso2.carbon.multitenancy|org.wso2.carbon.tenant.mgt.server.feature|4.11.6,org.wso2.carbon.multitenancy|org.wso2.carbon.tenant.mgt|4.11.6,No suitable version,4,failed,,Y,
it.unibo.alchemist|alchemist-swingui|12.1.4,net.anwiba.commons.swing.icons|org.oxygen.oxygen-icons|4.13.0-1.1.158,"[4.13.0-1.1.158,4.13.0-1.2.50]",4,success,,,
us.ihmc|scs2-session-logger|0.6.0-bullet-alpha-2,us.ihmc|scs2-simulation|0.6.0-bullet-alpha-2,"[0.6.0-bullet-alpha-2,17-0.11.1]",4,success,,,
us.ihmc|scs2-session-logger|0.4.0,us.ihmc|scs2-simulation|0.4.0,"[0.4.0,0.6.0]",4,success,,,
us.ihmc|scs2-session-visualizer-jfx|17-0.10.0,us.ihmc|scs2-session|17-0.10.0,"[17-0.10.0,17-0.11.1]",4,success,,,
us.ihmc|scs2-bullet-simulation-test|17-0.9.6,us.ihmc|scs2-bullet-simulation|17-0.9.6,"[17-0.9.6,17-0.11.1]",4,success,,,
fr.inrae.toulouse.metexplore|met4j-io|0.8.0,org.sbml.jsbml|jsbml|1.5,"[1.5,1.6.1]",4,success,,,
us.ihmc|scs2-bullet-simulation-test|17-0.11.0,us.ihmc|scs2-bullet-simulation|17-0.11.0,"[17-0.11.0,17-0.11.1]",4,success,,,
org.wso2.carbon.identity.governance|org.wso2.carbon.identity.recovery.server.feature|1.5.56,org.wso2.carbon.identity.governance|org.wso2.carbon.identity.recovery|1.5.56,"[1.5.56,1.5.84]",4,success,,,
org.wso2.carbon.identity.inbound.auth.saml2|org.wso2.carbon.identity.sso.saml.ui|5.9.1,org.wso2.carbon.identity.framework|org.wso2.carbon.idp.mgt|5.20.127,"[5.20.127,5.20.295]",4,success,,,
org.wso2.carbon.identity.inbound.auth.oauth2|org.wso2.carbon.identity.webfinger|6.7.100,org.wso2.carbon.identity.inbound.auth.oauth2|org.wso2.carbon.identity.discovery|6.7.100,"[6.7.100,6.7.170]",4,success,,,
org.wso2.carbon.identity.organization.management|org.wso2.carbon.identity.organization.management.authn|1.0.58,org.wso2.carbon.identity.framework|org.wso2.carbon.identity.application.mgt|5.20.267,"[5.20.267,5.20.295]",4,success,,,
io.get-coursier|lm-coursier_2.12|2.0.15,org.scala-sbt|librarymanagement-ivy_2.12|1.3.4,"[1.3.4,1.6.0]",4,success,,,
io.get-coursier|lm-coursier_2.12|2.0.12,org.scala-sbt|librarymanagement-ivy_2.12|1.3.4,"[1.3.4,1.6.0]",4,success,,,
org.wso2.carbon.identity.organization.management|org.wso2.carbon.identity.organization.management.role.management.service|1.1.14,org.wso2.carbon.identity.inbound.provisioning.scim2|org.wso2.carbon.identity.scim2.common|1.5.122,"[1.5.122,1.6.1]",4,success,,,
org.wso2.carbon.identity.migration.resources|org.wso2.carbon.is.migration|1.0.215,org.wso2.carbon.identity.inbound.provisioning.scim2|org.wso2.carbon.identity.scim2.common|1.5.46,"[1.5.46,1.6.1]",4,success,,,
